ID Tête,Bouche,EcartSourcils,EvasNez,Joues,Mâchoire,Nez,Notes,Philtrum,Pommettes,PosYeux,Sourcils,Teint,VolLevres,Yeux,preset_id
1,"0,343","0,19","11,081","0,881","0,817","0,455",,"0,087","1,026","0,47","0,129",Claire,"0,101","0,068",23
2,"0,378","0,179","10,546","0,902","0,825","0,485",visage asiatique avec nez gros nez (nez de cochon),"0,075","1,063","0,435","0,141",Métis,"0,144","0,052",175
3,"0,351","0,174","9,427","0,889","0,79","0,464","visage asiatique ","0,092","1,051","0,439","0,126",Claire bronzé,"0,101","0,061",170
4,"0,348","0,185","10,434","0,896","0,797","0,455",joue creuse,"0,092","1,072","0,449","0,138",Claire bronzé,"0,112","0,061",17
5,"0,388","0,175","10,137","0,899","0,819","0,483",,"0,078","1,043","0,455","0,126",Métis,"0,115","0,071",260
6,"0,382","0,194","11,566","0,909","0,798","0,492","enorme narrine ","0,081","1,053","0,453","0,151",Foncée,"0,143","0,059",116
7,"0,419","0,185","11,319","0,906","0,815","0,488",,"0,071","1,075","0,438","0,139",Claire,"0,126","0,057",249
8,"0,349","0,177","10,876","0,887","0,793","0,472",,"0,096","1,048","0,438","0,142",Claire,"0,093","0,053",43
9,"0,376","0,184","10,254","0,894","0,783","0,459",,"0,1","1,056","0,435","0,132",Claire bronzé,"0,105","0,059",52
10,"0,346","0,211","10,522","0,906","0,793","0,457","visage avec une jawline remarquable ","0,089","1,035","0,456","0,151",Claire,"0,109","0,056",236
11,"0,437","0,194","12,157","0,905","0,808","0,488",,"0,068","1,044","0,474","0,15",Très foncée,"0,165","0,054",93
12,"0,34","0,178","10,462","0,888","0,808","0,488","visage rond asiatique ","0,107","1,071","0,425","0,123",Claire bronzé,"0,115","0,06",134
13,"0,336","0,179","9,663","0,877","0,802","0,453",,"0,087","1,015","0,436","0,124",Claire,"0,102","0,064",33
14,"0,35","0,189","10,211","0,901","0,781","0,459",,"0,099","1,029","0,477","0,139",Claire,"0,07","0,057",294
15,"0,348","0,193","9,99","0,891","0,796","0,467",Mono sourcils,"0,093","1,019","0,463","0,149",Claire,"0,107","0,059",9
16,"0,352","0,178","10,542","0,89","0,809","0,473",,"0,083","1,05","0,44","0,125",Claire bronzé,"0,113","0,067",203
17,"0,368","0,185","10,782","0,892","0,771","0,474",,"0,092","1,024","0,469","0,136",Claire,"0,094","0,055",241
18,"0,356","0,183","9,658","0,889","0,783","0,462","visage asiatique ","0,091","1,04","0,436","0,14",Claire,"0,117","0,061",304
19,"0,355","0,193","9,68","0,887","0,784","0,451",visage typé asie (thailandais),"0,09","1,047","0,449","0,137",Foncée,"0,088","0,062",57
20,"0,357","0,191","11,218","0,904","0,786","0,476",,"0,091","1,041","0,467","0,147",Foncée,"0,135","0,053",268
21,"0,372","0,183","10,13","0,888","0,797","0,485",,"0,118","1,033","0,431","0,133",Métis,"0,1","0,064",99
22,"0,374","0,183","10,384","0,891","0,804","0,454",,"0,086","1,039","0,46","0,129",Claire,"0,071","0,057",202
23,"0,399","0,197","11,456","0,914","0,803","0,489",,"0,076","1,076","0,452","0,135",Foncée,"0,161","0,059",226
24,"0,397","0,217","11,512","0,908","0,801","0,45",,"0,073","1,034","0,493","0,135",Foncée,"0,165","0,055",151
25,"0,404","0,196","11,184","0,901","0,81","0,48",,"0,076","1,044","0,471","0,149",Foncée,"0,132","0,063",299
26,"0,339","0,184","9,537","0,885","0,806","0,447",,"0,098","1,044","0,442","0,141",Claire,"0,068","0,07",1001
27,"0,439","0,205","10,683","0,919","0,823","0,491",,"0,082","1,052","0,456","0,149",Très foncée,"0,129","0,065",1002
28,"0,402","0,182","9,472","0,897","0,808","0,483",,"0,082","1,053","0,427","0,131",Claire bronzé,"0,104","0,064",1003
29,"0,372","0,178","10,536","0,904","0,808","0,473",,"0,085","1,058","0,467","0,139",Claire bronzé,"0,093","0,061",1004
30,"0,37","0,183","9,716","0,895","0,805","0,463",,"0,085","1,05","0,45","0,135",Claire,"0,098","0,067",1005
31,"0,36","0,192","10,968","0,894","0,799","0,462",,"0,087","1,04","0,465","0,139",Claire,"0,097","0,06",1006
